From	To	Species	Gene Name
O94819	ENSG00000273645	Homo sapiens	kelch repeat and BTB domain containing 11(KBTBD11)
O94817	ENSG00000145782	Homo sapiens	autophagy related 12(ATG12)
O94818	ENSG00000101746	Homo sapiens	nucleolar protein 4(NOL4)
P21291	ENSG00000159176	Homo sapiens	cysteine and glycine rich protein 1(CSRP1)
Q96D53	ENSG00000123815	Homo sapiens	coenzyme Q8B(COQ8B)
Q9BX95	ENSG00000126821	Homo sapiens	sphingosine-1-phosphate phosphatase 1(SGPP1)
Q9BX95	ENSG00000285281	Homo sapiens	sphingosine-1-phosphate phosphatase 1(SGPP1)
O94822	ENSG00000198862	Homo sapiens	listerin E3 ubiquitin protein ligase 1(LTN1)
P63092	ENSG00000087460	Homo sapiens	GNAS complex locus(GNAS)
Q9UNF0	ENSG00000100266	Homo sapiens	protein kinase C and casein kinase substrate in neurons 2(PACSIN2)
Q3LXA3	ENSG00000149476	Homo sapiens	triokinase and FMN cyclase(TKFC)
Q96CT7	ENSG00000007080	Homo sapiens	coiled-coil domain containing 124(CCDC124)
P0C1Z6	ENSG00000276504	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000278161	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000274073	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000275086	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000276263	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000276296	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000273833	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000276022	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000105619	Homo sapiens	TCF3 fusion partner(TFPT)
P0C1Z6	ENSG00000276323	Homo sapiens	TCF3 fusion partner(TFPT)
Q9UNF1	ENSG00000102316	Homo sapiens	MAGE family member D2(MAGED2)
O94826	ENSG00000154174	Homo sapiens	translocase of outer mitochondrial membrane 70(TOMM70)
Q9H7F0	ENSG00000133657	Homo sapiens	ATPase 13A3(ATP13A3)
O94829	ENSG00000117408	Homo sapiens	importin 13(IPO13)
Q96CS3	ENSG00000113194	Homo sapiens	Fas associated factor family member 2(FAF2)
Q96CS2	ENSG00000152240	Homo sapiens	HAUS augmin like complex subunit 1(HAUS1)
Q9BWW4	ENSG00000157216	Homo sapiens	single stranded DNA binding protein 3(SSBP3)
O94832	ENSG00000176658	Homo sapiens	myosin ID(MYO1D)
Q96D46	ENSG00000169251	Homo sapiens	NMD3 ribosome export adaptor(NMD3)
Q9NZT2	ENSG00000060491	Homo sapiens	opioid growth factor receptor(OGFR)
P63096	ENSG00000127955	Homo sapiens	G protein subunit alpha i1(GNAI1)
P63098	ENSG00000221823	Homo sapiens	protein phosphatase 3 regulatory subunit B, alpha(PPP3R1)
Q9H7E9	ENSG00000182307	Homo sapiens	chromosome 8 open reading frame 33(C8orf33)
Q7Z7H5	ENSG00000158604	Homo sapiens	transmembrane p24 trafficking protein 4(TMED4)
Q9H7E2	ENSG00000083544	Homo sapiens	tudor domain containing 3(TDRD3)
Q7Z7H8	ENSG00000159111	Homo sapiens	mitochondrial ribosomal protein L10(MRPL10)
Q9BX79	ENSG00000288257	Homo sapiens	signaling receptor and transporter of retinol STRA6(STRA6)
Q9BX79	ENSG00000137868	Homo sapiens	signaling receptor and transporter of retinol STRA6(STRA6)
Q9BX74	ENSG00000162604	Homo sapiens	TM2 domain containing 1(TM2D1)
Q16204	ENSG00000108091	Homo sapiens	coiled-coil domain containing 6(CCDC6)
O94842	ENSG00000092203	Homo sapiens	TOX high mobility group box family member 4(TOX4)
Q9UNH6	ENSG00000162627	Homo sapiens	sorting nexin 7(SNX7)
Q9BX70	ENSG00000133243	Homo sapiens	BTB domain containing 2(BTBD2)
Q9UNH7	ENSG00000129515	Homo sapiens	sorting nexin 6(SNX6)
Q9NZU5	ENSG00000071282	Homo sapiens	LIM and cysteine rich domains 1(LMCD1)
Q9H7D7	ENSG00000162923	Homo sapiens	WD repeat domain 26(WDR26)
P21266	ENSG00000134202	Homo sapiens	glutathione S-transferase mu 3(GSTM3)
P47897	ENSG00000172053	Homo sapiens	glutaminyl-tRNA synthetase 1(QARS1)
P47895	ENSG00000184254	Homo sapiens	aldehyde dehydrogenase 1 family member A3(ALDH1A3)
Q9BX68	ENSG00000137133	Homo sapiens	histidine triad nucleotide binding protein 2(HINT2)
Q96CQ1	ENSG00000114120	Homo sapiens	solute carrier family 25 member 36(SLC25A36)
Q9BWU0	ENSG00000163798	Homo sapiens	solute carrier family 4 member 1 adaptor protein(SLC4A1AP)
Q9BX67	ENSG00000166086	Homo sapiens	junctional adhesion molecule 3(JAM3)
Q7Z7F0	ENSG00000132680	Homo sapiens	KH domain containing 4, pre-mRNA splicing factor(KHDC4)
O94855	ENSG00000150961	Homo sapiens	SEC24 homolog D, COPII coat complex component(SEC24D)
P21283	ENSG00000155097	Homo sapiens	ATPase H+ transporting V1 subunit C1(ATP6V1C1)
P21281	ENSG00000147416	Homo sapiens	ATPase H+ transporting V1 subunit B2(ATP6V1B2)
O94854	ENSG00000127603	Homo sapiens	microtubule actin crosslinking factor 1(MACF1)
Q09028	ENSG00000162521	Homo sapiens	RB binding protein 4, chromatin remodeling factor(RBBP4)
O75794	ENSG00000151465	Homo sapiens	cell division cycle 123(CDC123)
O75792	ENSG00000104889	Homo sapiens	ribonuclease H2 subunit A(RNASEH2A)
Q9UNI6	ENSG00000081721	Homo sapiens	dual specificity phosphatase 12(DUSP12)
Q9H7C9	ENSG00000087884	Homo sapiens	adipogenesis associated Mth938 domain containing(AAMDC)
Q00688	ENSG00000100442	Homo sapiens	FKBP prolyl isomerase 3(FKBP3)
Q16222	ENSG00000117143	Homo sapiens	UDP-N-acetylglucosamine pyrophosphorylase 1(UAP1)
Q7Z7F7	ENSG00000162910	Homo sapiens	mitochondrial ribosomal protein L55(MRPL55)
P60842	ENSG00000161960	Homo sapiens	eukaryotic translation initiation factor 4A1(EIF4A1)
P35813	ENSG00000100614	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1A(PPM1A)
P10515	ENSG00000150768	Homo sapiens	dihydrolipoamide S-acetyltransferase(DLAT)
O94864	ENSG00000119760	Homo sapiens	SPT7 like, STAGA complex subunit gamma(SUPT7L)
O75787	ENSG00000182220	Homo sapiens	ATPase H+ transporting accessory protein 2(ATP6AP2)
Q9H6Y7	ENSG00000108523	Homo sapiens	ring finger protein 167(RNF167)
O75781	ENSG00000099864	Homo sapiens	paralemmin(PALM)
Q9H6Y2	ENSG00000120314	Homo sapiens	WD repeat domain 55(WDR55)
O94874	ENSG00000014123	Homo sapiens	UFM1 specific ligase 1(UFL1)
Q9H6X2	ENSG00000169604	Homo sapiens	ANTXR cell adhesion molecule 1(ANTXR1)
Q9BWJ5	ENSG00000169976	Homo sapiens	splicing factor 3b subunit 5(SF3B5)
Q96CF2	ENSG00000164695	Homo sapiens	charged multivesicular body protein 4C(CHMP4C)
P09543	ENSG00000173786	Homo sapiens	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)
O94888	ENSG00000163960	Homo sapiens	UBX domain protein 7(UBXN7)
Q5TAX3	ENSG00000134744	Homo sapiens	terminal uridylyl transferase 4(TUT4)
O94887	ENSG00000006607	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)
O94880	ENSG00000106443	Homo sapiens	PHD finger protein 14(PHF14)
Q9H6W3	ENSG00000170468	Homo sapiens	ribosomal oxygenase 1(RIOX1)
Q92793	ENSG00000005339	Homo sapiens	CREB binding protein(CREBBP)
Q7Z6Z7	ENSG00000086758	Homo sapiens	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1(HUWE1)
Q92791	ENSG00000141696	Homo sapiens	prolyl 3-hydroxylase family member 4 (inactive)(P3H4)
Q92797	ENSG00000125755	Homo sapiens	symplekin scaffold protein(SYMPK)
Q92796	ENSG00000082458	Homo sapiens	discs large MAGUK scaffold protein 3(DLG3)
Q92794	ENSG00000083168	Homo sapiens	lysine acetyltransferase 6A(KAT6A)
Q9H6V9	ENSG00000118961	Homo sapiens	lipid droplet associated hydrolase(LDAH)
Q5T0W9	ENSG00000168143	Homo sapiens	family with sequence similarity 83 member B(FAM83B)
Q9H773	ENSG00000179958	Homo sapiens	dCTP pyrophosphatase 1(DCTPP1)
Q9BWH6	ENSG00000103932	Homo sapiens	RNA polymerase II associated protein 1(RPAP1)
Q9UNE7	ENSG00000103266	Homo sapiens	STIP1 homology and U-box containing protein 1(STUB1)
Q9NZR1	ENSG00000128872	Homo sapiens	tropomodulin 2(TMOD2)
Q04206	ENSG00000173039	Homo sapiens	RELA proto-oncogene, NF-kB subunit(RELA)
Q96CD2	ENSG00000138621	Homo sapiens	phosphopantothenoylcysteine decarboxylase(PPCDC)
Q92785	ENSG00000133884	Homo sapiens	double PHD fingers 2(DPF2)
Q92783	ENSG00000136738	Homo sapiens	signal transducing adaptor molecule(STAM)
Q9BWH2	ENSG00000165775	Homo sapiens	FUN14 domain containing 2(FUNDC2)
P09525	ENSG00000196975	Homo sapiens	annexin A4(ANXA4)
Q9NZJ6	ENSG00000132423	Homo sapiens	coenzyme Q3, methyltransferase(COQ3)
Q9NZJ7	ENSG00000137409	Homo sapiens	mitochondrial carrier 1(MTCH1)
O75746	ENSG00000115840	Homo sapiens	solute carrier family 25 member 12(SLC25A12)
Q5GLZ8	ENSG00000148634	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 4(HERC4)
Q9NZJ9	ENSG00000173598	Homo sapiens	nudix hydrolase 4(NUDT4)
P53680	ENSG00000042753	Homo sapiens	adaptor related protein complex 2 subunit sigma 1(AP2S1)
Q9BX10	ENSG00000172432	Homo sapiens	GTP binding protein 2(GTPBP2)
O00186	ENSG00000116266	Homo sapiens	syntaxin binding protein 3(STXBP3)
O00192	ENSG00000099889	Homo sapiens	ARVCF delta catenin family member(ARVCF)
O00194	ENSG00000041353	Homo sapiens	RAB27B, member RAS oncogene family(RAB27B)
P08240	ENSG00000182934	Homo sapiens	SRP receptor subunit alpha(SRPRA)
O00193	ENSG00000110696	Homo sapiens	chromosome 11 open reading frame 58(C11orf58)
P63000	ENSG00000136238	Homo sapiens	Rac family small GTPase 1(RAC1)
P08243	ENSG00000070669	Homo sapiens	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
Q7Z7A3	ENSG00000142544	Homo sapiens	cytosolic thiouridylase subunit 1(CTU1)
Q7Z7A4	ENSG00000168297	Homo sapiens	PX domain containing serine/threonine kinase like(PXK)
Q05519	ENSG00000116754	Homo sapiens	serine and arginine rich splicing factor 11(SRSF11)
Q05513	ENSG00000067606	Homo sapiens	protein kinase C zeta(PRKCZ)
P63010	ENSG00000006125	Homo sapiens	adaptor related protein complex 2 subunit beta 1(AP2B1)
Q5JVF3	ENSG00000126226	Homo sapiens	PCI domain containing 2(PCID2)
Q9NZL3	ENSG00000267680	Homo sapiens	zinc finger protein 224(ZNF224)
Q9NZL4	ENSG00000133265	Homo sapiens	HSPA (Hsp70) binding protein 1(HSPBP1)
Q6SZW1	ENSG00000004139	Homo sapiens	sterile alpha and TIR motif containing 1(SARM1)
Q9NZL9	ENSG00000038274	Homo sapiens	methionine adenosyltransferase 2 non-catalytic beta subunit(MAT2B)
Q9NZM3	ENSG00000198399	Homo sapiens	intersectin 2(ITSN2)
Q9NZM4	ENSG00000063169	Homo sapiens	BRD4 interacting chromatin remodeling complex associated protein(BICRA)
P63027	ENSG00000220205	Homo sapiens	vesicle associated membrane protein 2(VAMP2)
Q9NZM5	ENSG00000105373	Homo sapiens	NOP53 ribosome biogenesis factor(NOP53)
Q9BWM7	ENSG00000107819	Homo sapiens	sideroflexin 3(SFXN3)
P47813	ENSG00000173674	Homo sapiens	eukaryotic translation initiation factor 1A X-linked(EIF1AX)
Q06830	ENSG00000117450	Homo sapiens	peroxiredoxin 1(PRDX1)
Q9H6Z4	ENSG00000031823	Homo sapiens	RAN binding protein 3(RANBP3)
Q5QJ74	ENSG00000154114	Homo sapiens	tubulin folding cofactor E like(TBCEL)
Q9NZN3	ENSG00000013016	Homo sapiens	EH domain containing 3(EHD3)
Q9NZN5	ENSG00000196914	Homo sapiens	Rho guanine nucleotide exchange factor 12(ARHGEF12)
P08237	ENSG00000152556	Homo sapiens	phosphofructokinase, muscle(PFKM)
P08238	ENSG00000096384	Homo sapiens	heat shock protein 90 alpha family class B member 1(HSP90AB1)
Q9NZN8	ENSG00000111596	Homo sapiens	CCR4-NOT transcription complex subunit 2(CNOT2)
O75717	ENSG00000198554	Homo sapiens	WD repeat and HMG-box DNA binding protein 1(WDHD1)
P08236	ENSG00000169919	Homo sapiens	glucuronidase beta(GUSB)
O75718	ENSG00000170275	Homo sapiens	cartilage associated protein(CRTAP)
Q92616	ENSG00000089154	Homo sapiens	GCN1 activator of EIF2AK4(GCN1)
Q92615	ENSG00000107929	Homo sapiens	La ribonucleoprotein 4B(LARP4B)
O75821	ENSG00000130811	Homo sapiens	eukaryotic translation initiation factor 3 subunit G(EIF3G)
O75822	ENSG00000104131	Homo sapiens	eukaryotic translation initiation factor 3 subunit J(EIF3J)
O00264	ENSG00000101856	Homo sapiens	progesterone receptor membrane component 1(PGRMC1)
Q6WCQ1	ENSG00000133030	Homo sapiens	myosin phosphatase Rho interacting protein(MPRIP)
O00268	ENSG00000280529	Homo sapiens	TATA-box binding protein associated factor 4(TAF4)
O00268	ENSG00000130699	Homo sapiens	TATA-box binding protein associated factor 4(TAF4)
O00267	ENSG00000196235	Homo sapiens	SPT5 homolog, DSIF elongation factor subunit(SUPT5H)
Q7Z624	ENSG00000143919	Homo sapiens	calmodulin-lysine N-methyltransferase(CAMKMT)
Q9BVA0	ENSG00000140854	Homo sapiens	katanin regulatory subunit B1(KATNB1)
Q5JU69	ENSG00000160404	Homo sapiens	torsin family 2 member A(TOR2A)
O00273	ENSG00000160049	Homo sapiens	DNA fragmentation factor subunit alpha(DFFA)
Q9BVA1	ENSG00000137285	Homo sapiens	tubulin beta 2B class IIb(TUBB2B)
Q9ULW3	ENSG00000146109	Homo sapiens	activator of basal transcription 1(ABT1)
P63208	ENSG00000113558	Homo sapiens	S-phase kinase associated protein 1(SKP1)
Q6NZY4	ENSG00000033030	Homo sapiens	zinc finger CCHC-type containing 8(ZCCHC8)
Q9ULW0	ENSG00000088325	Homo sapiens	TPX2 microtubule nucleation factor(TPX2)
Q92614	ENSG00000196535	Homo sapiens	myosin XVIIIA(MYO18A)
Q92613	ENSG00000102221	Homo sapiens	jade family PHD finger 3(JADE3)
Q01804	ENSG00000164164	Homo sapiens	OTU deubiquitinase 4(OTUD4)
O75828	ENSG00000159231	Homo sapiens	carbonyl reductase 3(CBR3)
P52564	ENSG00000108984	Homo sapiens	mitogen-activated protein kinase kinase 6(MAP2K6)
P52565	ENSG00000141522	Homo sapiens	Rho GDP dissociation inhibitor alpha(ARHGDIA)
Q92604	ENSG00000123684	Homo sapiens	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
Q9H5N1	ENSG00000177548	Homo sapiens	rabaptin, RAB GTPase binding effector protein 2(RABEP2)
Q92609	ENSG00000131374	Homo sapiens	TBC1 domain family member 5(TBC1D5)
Q5JTV8	ENSG00000143337	Homo sapiens	torsin 1A interacting protein 1(TOR1AIP1)
P63218	ENSG00000174021	Homo sapiens	G protein subunit gamma 5(GNG5)
Q9ULX3	ENSG00000141101	Homo sapiens	NIN1 (RPN12) binding protein 1 homolog(NOB1)
O75818	ENSG00000124787	Homo sapiens	ribonuclease P/MRP subunit p40(RPP40)
Q9ULX6	ENSG00000011243	Homo sapiens	A-kinase anchoring protein 8 like(AKAP8L)
Q92600	ENSG00000144580	Homo sapiens	CCR4-NOT transcription complex subunit 9(CNOT9)
O75817	ENSG00000172336	Homo sapiens	POP7 homolog, ribonuclease P/MRP subunit(POP7)
Q13813	ENSG00000197694	Homo sapiens	spectrin alpha, non-erythrocytic 1(SPTAN1)
Q9NYF8	ENSG00000029363	Homo sapiens	BCL2 associated transcription factor 1(BCLAF1)
O00287	ENSG00000133111	Homo sapiens	regulatory factor X associated protein(RFXAP)
Q05397	ENSG00000169398	Homo sapiens	protein tyrosine kinase 2(PTK2)
O00291	ENSG00000127946	Homo sapiens	huntingtin interacting protein 1(HIP1)
P63220	ENSG00000171858	Homo sapiens	ribosomal protein S21(RPS21)
Q9NYG5	ENSG00000141552	Homo sapiens	anaphase promoting complex subunit 11(ANAPC11)
Q13823	ENSG00000134697	Homo sapiens	G protein nucleolar 2(GNL2)
O00299	ENSG00000226248	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000226417	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000230685	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000213719	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000223639	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000226651	Homo sapiens	chloride intracellular channel 1(CLIC1)
O00299	ENSG00000206394	Homo sapiens	chloride intracellular channel 1(CLIC1)
Q13825	ENSG00000148090	Homo sapiens	AU RNA binding methylglutaconyl-CoA hydratase(AUH)
Q86YD1	ENSG00000104960	Homo sapiens	PTOV1 extended AT-hook containing adaptor protein(PTOV1)
Q96AY3	ENSG00000141756	Homo sapiens	FKBP prolyl isomerase 10(FKBP10)
Q96AY4	ENSG00000100154	Homo sapiens	tetratricopeptide repeat domain 28(TTC28)
Q9ULR3	ENSG00000111110	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1H(PPM1H)
Q5TA50	ENSG00000224051	Homo sapiens	ceramide-1-phosphate transfer protein(CPTP)
O00220	ENSG00000104689	Homo sapiens	TNF receptor superfamily member 10a(TNFRSF10A)
Q13838	ENSG00000230624	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000198563	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000235439	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000237889	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000215425	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000229496	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000225073	Homo sapiens	DExD-box helicase 39B(DDX39B)
Q13838	ENSG00000225859	Homo sapiens	DExD-box helicase 39B(DDX39B)
O00221	ENSG00000146232	Homo sapiens	NFKB inhibitor epsilon(NFKBIE)
Q96SB4	ENSG00000096063	Homo sapiens	SRSF protein kinase 1(SRPK1)
Q9ULS5	ENSG00000057704	Homo sapiens	transmembrane and coiled-coil domain family 3(TMCC3)
Q96SB3	ENSG00000108819	Homo sapiens	protein phosphatase 1 regulatory subunit 9B(PPP1R9B)
Q2KHR3	ENSG00000060749	Homo sapiens	glutamine and serine rich 1(QSER1)
O14880	ENSG00000143198	Homo sapiens	microsomal glutathione S-transferase 3(MGST3)
O00231	ENSG00000108671	Homo sapiens	proteasome 26S subunit, non-ATPase 11(PSMD11)
O00233	ENSG00000110801	Homo sapiens	proteasome 26S subunit, non-ATPase 9(PSMD9)
O00233	ENSG00000256950	Homo sapiens	proteasome 26S subunit, non-ATPase 9(PSMD9)
O00232	ENSG00000197170	Homo sapiens	proteasome 26S subunit, non-ATPase 12(PSMD12)
Q9H633	ENSG00000248167	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000241779	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000242726	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000239865	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000241863	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000243009	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000239927	Homo sapiens	TRIM39-RPP21 readthrough(TRIM39-RPP21)
Q9H633	ENSG00000241779	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000242726	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000239865	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000241863	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000243009	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000239927	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q9H633	ENSG00000241370	Homo sapiens	ribonuclease P/MRP subunit p21(RPP21)
Q5JTZ9	ENSG00000124608	Homo sapiens	alanyl-tRNA synthetase 2, mitochondrial(AARS2)
Q96SB8	ENSG00000163029	Homo sapiens	structural maintenance of chromosomes 6(SMC6)
Q8WYH8	ENSG00000168395	Homo sapiens	inhibitor of growth family member 5(ING5)
O14879	ENSG00000119917	Homo sapiens	interferon induced protein with tetratricopeptide repeats 3(IFIT3)
Q5SNT2	ENSG00000188807	Homo sapiens	transmembrane protein 201(TMEM201)
Q92643	ENSG00000142892	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
O14874	ENSG00000103507	Homo sapiens	branched chain keto acid dehydrogenase kinase(BCKDK)
Q9UM54	ENSG00000196586	Homo sapiens	myosin VI(MYO6)
Q9ULT8	ENSG00000092148	Homo sapiens	HECT domain E3 ubiquitin protein ligase 1(HECTD1)
Q9NYB0	ENSG00000166848	Homo sapiens	TERF2 interacting protein(TERF2IP)
Q9H5Q4	ENSG00000162851	Homo sapiens	transcription factor B2, mitochondrial(TFB2M)
Q5T013	ENSG00000178922	Homo sapiens	hydroxypyruvate isomerase (putative)(HYI)
O00244	ENSG00000177556	Homo sapiens	antioxidant 1 copper chaperone(ATOX1)
Q9NYB9	ENSG00000138443	Homo sapiens	abl interactor 2(ABI2)
Q9BVC6	ENSG00000110108	Homo sapiens	transmembrane protein 109(TMEM109)
Q9BVC5	ENSG00000135974	Homo sapiens	chromosome 2 open reading frame 49(C2orf49)
Q5VWZ2	ENSG00000143353	Homo sapiens	lysophospholipase like 1(LYPLAL1)
Q9BVC4	ENSG00000167965	Homo sapiens	MTOR associated protein, LST8 homolog(MLST8)
Q9ULU4	ENSG00000101040	Homo sapiens	zinc finger MYND-type containing 8(ZMYND8)
Q13868	ENSG00000130713	Homo sapiens	exosome component 2(EXOSC2)
Q13867	ENSG00000108578	Homo sapiens	bleomycin hydrolase(BLMH)
O00255	ENSG00000133895	Homo sapiens	menin 1(MEN1)
O00257	ENSG00000141582	Homo sapiens	chromobox 4(CBX4)
Q5TA45	ENSG00000127054	Homo sapiens	integrator complex subunit 11(INTS11)
Q92621	ENSG00000155561	Homo sapiens	nucleoporin 205(NUP205)
O14893	ENSG00000092208	Homo sapiens	gem nuclear organelle associated protein 2(GEMIN2)
Q92620	ENSG00000140829	Homo sapiens	DEAH-box helicase 38(DHX38)
Q9ULV0	ENSG00000167306	Homo sapiens	myosin VB(MYO5B)
Q92625	ENSG00000064999	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 1A(ANKS1A)
Q92623	ENSG00000133985	Homo sapiens	tetratricopeptide repeat domain 9(TTC9)
Q9ULV4	ENSG00000110880	Homo sapiens	coronin 1C(CORO1C)
Q9ULV3	ENSG00000148337	Homo sapiens	CDKN1A interacting zinc finger protein 1(CIZ1)
O43396	ENSG00000091164	Homo sapiens	thioredoxin like 1(TXNL1)
O43395	ENSG00000117360	Homo sapiens	pre-mRNA processing factor 3(PRPF3)
Q9Y6W3	ENSG00000131375	Homo sapiens	calpain 7(CAPN7)
Q96AT1	ENSG00000163807	Homo sapiens	KIAA1143(KIAA1143)
Q96AT1	ENSG00000281665	Homo sapiens	KIAA1143(KIAA1143)
O43399	ENSG00000101150	Homo sapiens	TPD52 like 2(TPD52L2)
Q9Y6W5	ENSG00000158195	Homo sapiens	WASP family member 2(WASF2)
Q96B54	ENSG00000131116	Homo sapiens	zinc finger protein 428(ZNF428)
P15529	ENSG00000117335	Homo sapiens	CD46 molecule(CD46)
P53803	ENSG00000147669	Homo sapiens	RNA polymerase II, I and III subunit K(POLR2K)
P53801	ENSG00000183255	Homo sapiens	PTTG1 interacting protein(PTTG1IP)
Q96AT9	ENSG00000197713	Homo sapiens	ribulose-5-phosphate-3-epimerase(RPE)
P15531	ENSG00000239672	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 1(NME1)
Q96S66	ENSG00000121940	Homo sapiens	chloride channel CLIC like 1(CLCC1)
Q96RU2	ENSG00000048028	Homo sapiens	ubiquitin specific peptidase 28(USP28)
O14828	ENSG00000263290	Homo sapiens	secretory carrier membrane protein 3(SCAMP3)
O14828	ENSG00000116521	Homo sapiens	secretory carrier membrane protein 3(SCAMP3)
Q96RU3	ENSG00000187239	Homo sapiens	formin binding protein 1(FNBP1)
P28838	ENSG00000002549	Homo sapiens	leucine aminopeptidase 3(LAP3)
Q96B45	ENSG00000270316	Homo sapiens	BLOC-1 related complex subunit 7(BORCS7)
Q96B45	ENSG00000166275	Homo sapiens	BLOC-1 related complex subunit 7(BORCS7)
Q9Y6X8	ENSG00000178764	Homo sapiens	zinc fingers and homeoboxes 2(ZHX2)
Q9BV86	ENSG00000148335	Homo sapiens	N-terminal Xaa-Pro-Lys N-methyltransferase 1(NTMT1)
Q9UM00	ENSG00000143183	Homo sapiens	transmembrane and coiled-coil domains 1(TMCO1)
Q9Y6X9	ENSG00000133422	Homo sapiens	MORC family CW-type zinc finger 2(MORC2)
Q9Y6X4	ENSG00000198780	Homo sapiens	family with sequence similarity 169 member A(FAM169A)
Q9Y6X3	ENSG00000129933	Homo sapiens	MAU2 sister chromatid cohesion factor(MAU2)
P14209	ENSG00000292348	Homo sapiens	CD99 molecule (Xg blood group)(CD99)
P14209	ENSG00000002586	Homo sapiens	CD99 molecule (Xg blood group)(CD99)
Q9Y6X5	ENSG00000001561	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 4(ENPP4)
Q96B49	ENSG00000214736	Homo sapiens	translocase of outer mitochondrial membrane 6(TOMM6)
Q9BV81	ENSG00000127774	Homo sapiens	ER membrane protein complex subunit 6(EMC6)
Q96S55	ENSG00000124535	Homo sapiens	WRN helicase interacting protein 1(WRNIP1)
P16870	ENSG00000109472	Homo sapiens	carboxypeptidase E(CPE)
Q96RT1	ENSG00000112851	Homo sapiens	erbb2 interacting protein(ERBIN)
Q96S52	ENSG00000087111	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class S(PIGS)
Q9Y6Y0	ENSG00000116679	Homo sapiens	influenza virus NS1A binding protein(IVNS1ABP)
O14832	ENSG00000107537	Homo sapiens	phytanoyl-CoA 2-hydroxylase(PHYH)
Q96S59	ENSG00000010017	Homo sapiens	RAN binding protein 9(RANBP9)
Q9UM13	ENSG00000164162	Homo sapiens	anaphase promoting complex subunit 10(ANAPC10)
Q9UM13	ENSG00000285713	Homo sapiens	anaphase promoting complex subunit 10(ANAPC10)
Q9Y6Y8	ENSG00000107651	Homo sapiens	SEC23 interacting protein(SEC23IP)
Q96B36	ENSG00000204673	Homo sapiens	AKT1 substrate 1(AKT1S1)
O43379	ENSG00000075702	Homo sapiens	WD repeat domain 62(WDR62)
Q9BV79	ENSG00000116353	Homo sapiens	mitochondrial trans-2-enoyl-CoA reductase(MECR)
Q7Z5G4	ENSG00000147533	Homo sapiens	golgin A7(GOLGA7)
