id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_r0734,enoyl CoA hydratase,r0734,4.2.1.17,FA metabolism,trans-Hex-2-enoyl-CoA + H2O --> (S)-Hydroxyhexanoyl-CoA,M_HC01410_m + M_h2o_m --> M_HC01407_m,-1000.0,1000.0,0.4697,r0734,h2o[m] + HC01410[m] -> HC01407[m],R04749,ECHS1,ENSG00000127884,HGNC:3151,enoyl CoA hydratase,High,High,True,33.7065
R_r0733,3-hydroxyacyl-CoA dehydrogenase,r0733,1.1.1.35,FA metabolism,(S)-Hydroxyhexanoyl-CoA + NAD+ --> 3-Oxohexanoyl-CoA + NADH + H+,M_HC01407_m + M_nad_m --> M_HC01408_m + M_nadh_m + M_h_m,-1000.0,1000.0,0.4697,r0733,nad[m] + HC01407[m] -> h[m] + nadh[m] + HC01408[m],R04748,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_r0287,medium acyl-CoA dehydrogenase,r0287,2.3.1.16,FA metabolism,CoA + 3-Oxohexanoyl-CoA --> Acetyl-CoA + Butanoyl-CoA,M_coa_m + M_HC01408_m --> M_accoa_m + M_btcoa_m ,-1000.0,1000.0,0.4697,r0287,coa[m] + HC01408[m] -> accoa[m] + btcoa[m],R01177,ACAA2,ENSG00000167315,HGNC:83,acetyl-CoA acyltransferase 2,Medium,Medium,True,22.5372
R_r1446,short acyl-CoA dehydrogenase,r1446,"1.3.8.1, 1.5.5.1",FA metabolism,Butanoyl-CoA + Q --> QH2 + Crotonoyl-CoA,M_btcoa_m + M_q10_m --> M_b2coa_m + M_q10h2_m,0.0,1000.0,0.4697,r1446,btcoa[m] + q10[m] -> b2coa[m] + q10h2[m],R01175,ACADS and ETFDH,ENSG00000122971 and ENSG00000171503,HGNC:89 and HGNC:3483,short acyl-CoA dehydrogenase,Medium and Medium,High and High,"TRUE, TRUE","32.6104, 34.3966"
R_ECOAH1m,enoyl CoA hydratase,ECOAH1m,4.2.1.17,FA metabolism,(S)-3-Hydroxybutanoyl-CoA --> Crotonoyl-CoA + H2O,M_3hbcoa_m --> M_h2o_m + M_b2coa_m,-1000.0,1000.0,-0.4997,ECOAH1m,3hbcoa[m] --> h2o[m] + b2coa[m],R03026,ECHS1,ENSG00000127884,HGNC:3151,enoyl CoA hydratase,High,High,True,33.7065
R_HACD1m,3-hydroxyacyl-CoA dehydrogenase,HACD1m,1.1.1.35,FA metabolism,Acetoacetyl-CoA + NADH + H+ --> (S)-3-Hydroxybutanoyl-CoA + NAD+,M_h_m + M_nadh_m + M_aacoa_m --> M_nad_m + M_3hbcoa_m,-1000.0,1000.0,-0.4997,HACD1m,h[m] + nadh[m] + aacoa[m] --> nad[m] + 3hbcoa[m],R01975,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_ACACT1rm,acetyl-CoA acetyltransferase 1,ACACT1rm,2.3.1.9,FA and ketone body metabolism / Ketogenesis,2 Acetyl-CoA --> CoA + Acetoacetyl-CoA,2.0 M_accoa_m --> M_coa_m + M_aacoa_m,-1000.0,1000.0,-0.6777,ACACT1rm,2.0 accoa[m] -> coa[m] + aacoa[m],R00238,ACAT1,ENSG00000075239,HGNC:93,acetyl-CoA acetyltransferase 1,High,High,True,28.0146
R_ACCOAC,,ACCOAC,6.4.1.2,FA synthesis - cytosolic,ATP + Acetyl-CoA + HCO3- --> ADP + Orthophosphate + Malonyl-CoA,M_atp_c + M_hco3_c + M_accoa_c --> M_h_c + M_adp_c + M_pi_c + M_malcoa_c,0.0,1000.0,0.0,ACCOAC,atp[c] + hco3[c] + accoa[c] -> h[c] + adp[c] + pi[c] + malcoa[c],R00742,ACACA or ACACB,ENSG00000278540 or ENSG00000076555,HGNC:84 or HGNC:85,acetyl-CoA carboxylase,Low or Low,High or Medium,"TRUE, TRUE","5.7466, 7.977"
R_MCOATA,,MCOATA,2.3.1.39,FA synthesis - cytosolic,Malonyl-CoA + Acyl-carrier protein --> CoA + Malonyl-[acyl-carrier protein],M_malcoa_c + M_ACP_c --> M_coa_c + M_malACP_c,-1000.0,1000.0,0.0,MCOATA,malcoa[c] + ACP[c] --> coa[c] + malACP[c],R01626,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_ACOATA,,ACOATA,2.3.1.38,FA synthesis - cytosolic,Acetyl-CoA + Acyl-carrier protein --> CoA + Acetyl-[acyl-carrier protein],M_accoa_c + M_ACP_c --> M_coa_c + M_acACP_c,0.0,1000.0,0.0,ACOATA,accoa[c] + ACP[c] --> coa[c] + acACP[c],R01624,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0678,,r0678,2.3.1.85,FA synthesis - cytosolic,Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] --> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_acACP_c + M_malACP_c --> M_co2_c + M_ACP_c + M_HC01587_c,0.0,1000.0,0.0,r0678,h[c] + acACP[c] + malACP[c] -> co2[c] + ACP[c] + HC01587[c],R04355,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0691,,r0691,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ --> Acetoacetyl-[acp] + NADPH + H+,M_nadp_c + M_HC01321_c --> M_h_c + M_nadph_c + M_HC01587_c,-1000.0,1000.0,0.0,r0691,nadp[c] + HC01321[c] -> h[c] + nadph[c] + HC01587[c],R04533,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0681,,r0681,2.3.1.85,FA synthesis - cytosolic,3R)-3-Hydroxybutanoyl-[acyl-carrier protein] --> But-2-enoyl-[acyl-carrier protein] + H2O,M_HC01321_c --> M_h2o_c + M_HC01255_c,-1000.0,1000.0,0.0,r0681,HC01321[c] -> h2o[c] + HC01255[c],R04428,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0682,,r0682,2.3.1.85,FA synthesis - cytosolic,Butyryl-[acp] + NADP+ --> But-2-enoyl-[acyl-carrier protein] + NADPH + H+,M_nadp_c + M_HC01588_c --> M_h_c + M_nadph_c + M_HC01255_c,-1000.0,1000.0,0.0,r0682,nadp[c] + HC01588[c] -> h[c] + nadph[c] + HC01255[c],R04430,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0760,,r0760,2.3.1.85,FA synthesis - cytosolic,Butyryl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_malACP_c + M_HC01588_c --> M_co2_c + M_ACP_c + M_HC01589_c,0.0,1000.0,0.0,r0760,h[c] + malACP[c] + HC01588[c] -> co2[c] + ACP[c] + HC01589[c],R04952,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0761,,r0761,2.3.1.85,FA synthesis - cytosolic,(R)-3-Hydroxyhexanoyl-[acp] + NADP+ --> 3-Oxohexanoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01590_c --> M_h_c + M_nadph_c + M_HC01589_c,-1000.0,1000.0,0.0,r0761,nadp[c] + HC01590[c] -> h[c] + nadph[c] + HC01589[c],R04953,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0762,,r0762,2.3.1.85,FA synthesis - cytosolic,(R)-3-Hydroxyhexanoyl-[acp] --> trans-Hex-2-enoyl-[acp] + H2O,M_HC01590_c --> M_h2o_c + M_HC01591_c,-1000.0,1000.0,0.0,r0762,HC01590[c] -> h2o[c] + HC01591[c],R04954,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0763,,r0763,2.3.1.85,FA synthesis - cytosolic,Hexanoyl-[acp] + NADP+ --> trans-Hex-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01592_c --> M_h_c + M_nadph_c + M_HC01591_c,-1000.0,1000.0,0.0,r0763,nadp[c] + HC01592[c] -> h[c] + nadph[c] + HC01591[c],R04956,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0764,,r0764,2.3.1.85,FA synthesis - cytosolic,Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_malACP_c + M_HC01592_c --> M_co2_c + M_ACP_c + M_HC01593_c,0.0,1000.0,0.0,r0764,h[c] + malACP[c] + HC01592[c] -> co2[c] + ACP[c] + HC01593[c],R04957,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0694,,r0694,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ --> 3-Oxooctanoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01323_c --> M_h_c + M_nadph_c + M_HC01593_c,-1000.0,1000.0,0.0,r0694,nadp[c] + HC01323[c] -> h[c] + nadph[c] + HC01593[c],R04536,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0695,,r0695,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] --> trans-Oct-2-enoyl-[acp] + H2O,M_HC01323_c --> M_h2o_c + M_HC01594_c,-1000.0,1000.0,0.0,r0695,HC01323[c] -> h2o[c] + HC01594[c],R04537,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0765,,r0765,2.3.1.85,FA synthesis - cytosolic,Octanoyl-[acp] + NADP+ --> trans-Oct-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01595_c --> M_h_c + M_nadph_c + M_HC01594_c,-1000.0,1000.0,0.0,r0765,nadp[c] + HC01595[c] -> h[c] + nadph[c] + HC01594[c],R04959,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0766,,r0766,2.3.1.85,FA synthesis - cytosolic,Octanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_malACP_c + M_HC01595_c --> M_co2_c + M_ACP_c + M_HC01596_c,0.0,1000.0,0.0,r0766,h[c] + malACP[c] + HC01595[c] -> co2[c] + ACP[c] + HC01596[c],R04960,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0692,,r0692,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ --> 3-Oxodecanoyl-[acp] + NADPH,M_nadp_c + M_HC01322_c --> M_h_c + M_nadph_c + M_HC01596_c,-1000.0,1000.0,0.0,r0692,nadp[c] + HC01322[c] -> h[c] + nadph[c] + HC01596[c],R04534,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0693,,r0693,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] --> trans-Dec-2-enoyl-[acp] + H2O,M_HC01322_c --> M_h2o_c + M_HC01597_c,-1000.0,1000.0,0.0,r0693,HC01322[c] -> h2o[c] + HC01597[c],R04535,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0767,,r0767,2.3.1.85,FA synthesis - cytosolic,Decanoyl-[acp] + NADP+ --> trans-Dec-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01598_c --> M_h_c + M_nadph_c + M_HC01597_c,-1000.0,1000.0,0.0,r0767,nadp[c] + HC01598[c] -> h[c] + nadph[c] + HC01597[c],R04962,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0768,,r0768,2.3.1.85,FA synthesis - cytosolic,Decanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_malACP_c + M_HC01598_c --> M_co2_c + M_ACP_c + M_HC01599_c,0.0,1000.0,0.0,r0768,h[c] + malACP[c] + HC01598[c] -> co2[c] + ACP[c] + HC01599[c],R04963,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0769,,r0769,2.3.1.85,FA synthesis - cytosolic,(R)-3-Hydroxydodecanoyl-[acp] + NADP+ --> 3-Oxododecanoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01600_c --> M_h_c + M_nadph_c + M_HC01599_c,-1000.0,1000.0,0.0,r0769,nadp[c] + HC01600[c] -> h[c] + nadph[c] + HC01599[c],R04964,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0770,,r0770,2.3.1.85,FA synthesis - cytosolic,(R)-3-Hydroxydodecanoyl-[acp] --> trans-Dodec-2-enoyl-[acp] + H2O,M_HC01600_c --> M_h2o_c + M_HC01601_c,-1000.0,1000.0,0.0,r0770,HC01600[c] -> h2o[c] + HC01601[c],R04965,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0712,,r0712,2.3.1.85,FA synthesis - cytosolic,Dodecanoyl-[acyl-carrier protein] + NADP+ --> trans-Dodec-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_ddcaACP_c --> M_h_c + M_nadph_c + M_HC01601_c,-1000.0,1000.0,0.0,r0712,nadp[c] + ddcaACP[c] -> h[c] + nadph[c] + HC01601[c],R04725,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0713,,r0713,2.3.1.85,FA synthesis - cytosolic,Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] --> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_ddcaACP_c + M_malACP_c --> M_co2_c + M_ACP_c + M_HC01602_c,0.0,1000.0,0.0,r0713,h[c] + ddcaACP[c] + malACP[c] -> co2[c] + ACP[c] + HC01602[c],R04726,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0701,,r0701,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ --> 3-Oxotetradecanoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01335_c --> M_nadph_c + M_HC01602_c,-1000.0,1000.0,0.0,r0701,nadp[c] + HC01335[c] -> nadph[c] + HC01602[c],R04566,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0702,,r0702,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] --> trans-Tetradec-2-enoyl-[acp] + H2O,M_HC01335_c --> M_h2o_c + M_HC01603_c,-1000.0,1000.0,0.0,r0702,HC01335[c] -> h2o[c] + HC01603[c],R04568,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0771,,r0771,2.3.1.85,FA synthesis - cytosolic,Tetradecanoyl-[acp] + NADP+ --> trans-Tetradec-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_myrsACP_c --> M_h_c + M_nadph_c + M_HC01603_c,-1000.0,1000.0,0.0,r0771,nadp[c] + myrsACP[c] -> h[c] + nadph[c] + HC01603[c],R04967,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0772,,r0772,2.3.1.85,FA synthesis - cytosolic,Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] --> 3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein,M_h_c + M_myrsACP_c + M_malACP_c --> M_co2_c + M_ACP_c + M_HC01605_c,0.0,1000.0,0.0,r0772,h[c] + myrsACP[c] + malACP[c] -> co2[c] + ACP[c] + HC01605[c],R04968,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0696,,r0696,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ --> 3-Oxohexadecanoyl-[acp] + NADPH + H+,M_nadp_c + M_HC01326_c --> M_h_c + M_nadph_c + M_HC01605_c,-1000.0,1000.0,0.0,r0696,nadp[c] + HC01326[c] -> h[c] + nadph[c] + HC01605[c],R04543,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0697,,r0697,2.3.1.85,FA synthesis - cytosolic,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] --> trans-Hexadec-2-enoyl-[acp] + H2O,M_HC01326_c --> M_h2o_c + M_HC01606_c,-1000.0,1000.0,0.0,r0697,HC01326[c] -> h2o[c] + HC01606[c],R04544,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_r0773,,r0773,2.3.1.85,FA synthesis - cytosolic,Hexadecanoyl-[acp] + NADP+ --> trans-Hexadec-2-enoyl-[acp] + NADPH + H+,M_nadp_c + M_palmACP_c --> M_h_c + M_nadph_c + M_HC01606_c,-1000.0,1000.0,0.0,r0773,nadp[c] + palmACP[c] -> h[c] + nadph[c] + HC01606[c],R04970,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_FA160ACPH,,FA160ACPH,3.1.2.14,FA synthesis - cytosolic,Hexadecanoyl-[acp] + H2O --> Acyl-carrier protein + Hexadecanoic acid,M_h2o_c + M_palmACP_c --> M_h_c + M_ACP_c + M_hdca_c,0.0,1000.0,0.0,FA160ACPH,h2o[c] + palmACP[c] --> h[c] + ACP[c] + hdca[c],R01706,FASN,ENSG00000169710,HGNC:3594,fatty acid synthase,Low,None,True,7.0321
R_FACOAL40im,butyrate---CoA ligase,FACOAL40im,6.2.1.2,Butanoate metabolism,ATP + Butanoic acid + CoA --> AMP + Diphosphate + Butanoyl-CoA,M_atp_m + M_coa_m + M_but_m --> M_amp_m + M_ppi_m + M_btcoa_m,0.0,1000.0,0.0,FACOAL40im,atp[m] + coa[m] + but[m] -> amp[m] + ppi[m] + btcoa[m],R01176,ACSM3 or ACSM6 ,ENSG00000005187 or ENSG00000173124,HGNC:10522 or HGNC:31665,acyl-CoA synthetase medium-chain family member 3,Low or Not detected,Medium or Low,"TRUE, FALSE","16.9674, -0.7431"
R_BDHm,"3-hydroxybutyrate dehydrogenase, type 1",BDHm,1.1.1.30,Ketone bodies - degradation,(R)-3-Hydroxybutanoate + NAD+ --> Acetoacetate + NADH + H+,M_nad_m + M_bhb_m --> M_h_m + M_nadh_m + M_acac_m,-1000.0,1000.0,0.048,BDHm,nad[m] + bhb[m] --> h[m] + nadh[m] + acac[m],R01361,BDH1,ENSG00000161267,HGNC:1027,"3-hydroxybutyrate dehydrogenase, type 1",Medium,Medium,True,23.9841
R_OCOAT1m,3-oxoacid CoA transferase 1,OCOAT1m,2.8.3.5,Ketone bodies - degradation,Succinyl-CoA + Acetoacetate --> Succinate + Acetoacetyl-CoA,M_acac_m + M_succoa_m --> M_aacoa_m + M_succ_m,-1000.0,1000.0,0.178,OCOAT1m,acac[m] + succoa[m] -> aacoa[m] + succ[m],R00410,OXCT1,ENSG00000083720,HGNC:8527,3-oxoacid CoA transferase 1,High,High,True,26.3333
R_HMGCOASim,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),HMGCOASim,2.3.3.10,Ketogenesis,Acetyl-CoA + H2O + Acetoacetyl-CoA --> S)-3-Hydroxy-3-methylglutaryl-CoA + CoA,M_h2o_m + M_accoa_m + M_aacoa_m --> M_h_m + M_coa_m + M_hmgcoa_m,0.0,0.0,0.0,HMGCOASim,h2o[m] + accoa[m] + aacoa[m] -> h[m] + coa[m] + hmgcoa[m],R01978,HMGCS2,ENSG00000134240,HGNC:5008,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),Not detected,Not detected,True,10.6859
R_HMGLm,3-hydroxymethyl-3-methylglutaryl-CoA lyase,HMGLm,4.1.3.4,Ketogenesis / Leucine degradation,(S)-3-Hydroxy-3-methylglutaryl-CoA --> Acetyl-CoA + Acetoacetate,M_hmgcoa_m --> M_accoa_m + M_acac_m,0.0,1000.0,0.016,HMGLm,hmgcoa[m] -> accoa[m] + acac[m],R01360,HMGCL,ENSG00000117305,HGNC:5005,3-hydroxymethyl-3-methylglutaryl-CoA lyase,Medium,Medium,True,14.9768
R_LEUTAm,"branched chain amino-acid transaminase 2, mitochondrial",LEUTAm,2.6.1.42,Leucine degradation,L-Leucine + 2-Oxoglutarate --> 4-Methyl-2-oxopentanoate + L-Glutamate,M_akg_m + M_leu_L_m --> M_glu_L_m + M_4mop_m,-1000.0,1000.0,0.016,LEUTAm,akg[m] + leu_L[m] --> glu_L[m] + 4mop[m],R01090,2016-06-21 00:00:00,ENSG00000105552,HGNC:977,"branched chain amino-acid transaminase 2, mitochondrial",Medium,Medium,True,15.2627
R_OIVD1m,branched-chain α-ketoacid dehydrogenase complex,OIVD1m,"1.2.4.4, 2.3.1.168, 1.8.1.4",Leucine degradation,4-Methyl-2-oxopentanoate + NAD+ + CoA -> NADH + CO2 + 3-Methylbutanoyl-CoA,M_nad_m + M_coa_m + M_4mop_m --> M_nadh_m + M_co2_m + M_ivcoa_m,0.0,1000.0,0.016,OIVD1m,nad[m] + coa[m] + 4mop[m] -> nadh[m] + co2[m] + ivcoa[m],"R07601, R7602, R04097, R07618",BCKDHA and BCKDHB and DBT and DLD,ENSG00000248098 and ENSG00000083123 and ENSG00000137992 and ENSG00000091140,HGNC:986 and HGNC:987 and HGNC:2698 and HGNC:2898,branched-chain α-ketoacid dehydrogenase complex,Medium and Medium and Low and High,High and Low and Medium and High,"TRUE, TRUE, TRUE, TRUE","34.1724, 32.7672, 39.2448, 31.2307"
R_r0655,isovaleryl-CoA dehydrogenase,r0655,1.3.8.4,Leucine degradation,3-Methylbutanoyl-CoA + Q --> 3-Methylcrotonyl-CoA + QH2,M_ivcoa_m + M_q10_m --> M_3mb2coa_m + M_q10h2_m,0.0,1000.0,0.016,r0655,ivcoa[m] + q10[m] --> 3mb2coa[m] + q10h2[m],R04095,IVD,ENSG00000128928,HGNC:6186,isovaleryl-CoA dehydrogenase,Medium,Medium,True,22.807
R_MCCCrm,methylcrotonoyl-CoA carboxylase,MCCCrm,6.4.1.4,Leucine degradation,ATP + 3-Methylcrotonyl-CoA + HCO3 ---> ADP + Orthophosphate + 3-Methylglutaconyl-CoA,M_atp_m + M_hco3_m + M_3mb2coa_m --> M_h_m + M_adp_m + M_pi_m + M_3mgcoa_m,0.0,1000.0,0.016,MCCCrm,atp[m] + hco3[m] + 3mb2coa[m] --> h[m] + adp[m] + pi[m] + 3mgcoa[m],R04138,MCCC1 and MCCC2,ENSG00000078070 and ENSG00000131844,HGNC:6936 and HGNC:6937,methylcrotonoyl-CoA carboxylase,Medium and Medium,High and High,True,24.4144
R_MGCHrm,Methylglutaconyl-CoA hydratase,MGCHrm,4.2.1.18,Leucine degradation,3-Methylglutaconyl-CoA + H2O --> (S)-3-Hydroxy-3-methylglutaryl-CoA,M_h2o_m + M_3mgcoa_m --> M_hmgcoa_m,-1000.0,1000.0,0.016,MGCHrm,h2o[m] + 3mgcoa[m] --> hmgcoa[m],R02085,AUH,ENSG00000148090,HGNC:890,Methylglutaconyl-CoA hydratase,Medium,Medium,True,32.2168
R_ILETAm,"branched chain amino-acid transaminase 2, mitochondrial",ILETAm,2.6.1.42,Isoleucine degradation,L-Isoleucine + 2-Oxoglutarate --> (S)-3-Methyl-2-oxopentanoicacid + L-Glutamate,M_akg_m + M_ile_L_m --> M_glu_L_m + M_3mop_m,-1000.0,1000.0,0.004,ILETAm,akg[m] + ile_L[m] --> glu_L[m] + 3mop[m],R02199,BCAT2,ENSG00000105552,HGNC:977,"branched chain amino-acid transaminase 2, mitochondrial",Medium,Medium,True,15.2627
R_OIVD3m,branched-chain α-ketoacid dehydrogenase complex,OIVD3m,"1.2.4.4, 2.3.1.168, 1.8.1.4",Isoleucine degradation,NAD+ + CoA + (S)-3-Methyl-2-oxopentanoicacid -> NADH + CO2 + (S)-2-Methylbutanoyl-CoA,M_nad_m + M_coa_m + M_3mop_m --> M_nadh_m + M_co2_m + M_2mbcoa_m,0.0,1000.0,0.004,OIVD3m,nad[m] + coa[m] + 3mop[m] -> nadh[m] + co2[m] + 2mbcoa[m],"R07603, R07604, R03174, R07618",BCKDHA and BCKDHB and DBT and DLD,ENSG00000248098 and ENSG00000083123 and ENSG00000137992 and ENSG00000091140,HGNC:986 and HGNC:987 and HGNC:2698 and HGNC:2898,branched-chain α-ketoacid dehydrogenase complex,Medium and Medium and Low and High,High and Low and Medium and High,"TRUE, TRUE, TRUE, TRUE","34.1724, 32.7672, 39.2448, 31.2307"
R_r0603,acyl-CoA dehydrogenase,r0603,1.3.8.1,Isoleucine degradation,(S)-2-Methylbutanoyl-CoA + Q --> 2-Methylbut-2-enoyl-CoA + QH2,M_2mbcoa_m + M_q10_m --> M_2mb2coa_m + M_q10h2_m,0.0,1000.0,0.004,r0603,2mbcoa[m] + q10[m] --> 2mb2coa[m] + q10h2[m],R03172,ACADS,ENSG00000122971,HGNC:90,acyl-CoA dehydrogenase,Medium,High,True,32.6104
R_ECOAH9m,"enoyl CoA hydratase, short chain",ECOAH9m,4.2.1.17,Isoleucine degradation,"2-Methylbut-2-enoyl-CoA + H2O --> (2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA",M_h2o_m + M_2mb2coa_m --> M_3hmbcoa_m,0.0,1000.0,0.004,ECOAH9m,h2o[m] + 2mb2coa[m] --> 3hmbcoa[m],R04204,ECHS1,ENSG00000127884,HGNC:3151,"enoyl CoA hydratase, short chain",High,High,True,33.7065
R_HACD9m,3-hydroxyacyl-CoA dehydrogenase,HACD9m,1.1.1.35,Isoleucine degradation,"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA + NAD+ --> 2-Methylacetoacetyl-CoA + NADH + H+",M_nad_m + M_3hmbcoa_m --> M_h_m + M_nadh_m + M_2maacoa_m,-1000.0,1000.0,0.004,HACD9m,nad[m] + 3hmbcoa[m] --> h[m] + nadh[m] + 2maacoa[m],R04203,HADH,ENSG00000138796,HGNC:4799,3-hydroxyacyl-CoA dehydrogenase,High,High,True,28.0734
R_ACACT10m,acetyl-CoA acyltransferase 2,ACACT10m,2.3.1.16,Isoleucine degradation,CoA + 2-Methylacetoacetyl-CoA --> Propanoyl-CoA + Acetyl-CoA,M_coa_m + M_2maacoa_m --> M_accoa_m + M_ppcoa_m,0.0,1000.0,0.004,ACACT10m,coa[m] + 2maacoa[m] --> accoa[m] + ppcoa[m],R00927,ACAA2,ENSG00000167315,HGNC:83,acetyl-CoA acyltransferase 2,Medium,Medium,True,22.5372
R_VALTAm,"branched chain amino-acid transaminase 2, mitochondrial",VALTAm,2.6.1.42,Valine degradation,L-Valine + 2-Oxoglutarate --> 3-Methyl-2-oxobutanoicacid + L-Glutamate,M_akg_m + M_val_L_m --> M_glu_L_m + M_3mob_m,-1000.0,1000.0,0.011,VALTAm,akg[m] + val_L[m] --> glu_L[m] + 3mob[m],R01214,BCAT2,ENSG00000105552,HGNC:977,"branched chain amino-acid transaminase 2, mitochondrial",Medium,Medium,True,15.2627
